UUID OLD (ILCD 2016),uuid_ecoinvent37
000194b6-3952-98e9-d1ad-0000493d769a,
005df2f9-9630-4618-a4fd-d0907a64961e,bbff44a2-cd6d-4200-98c7-e4f772fd24c5
0062c37d-093f-4bec-81fe-e1467c9dbd0e,d961f86b-e36b-4ac6-8cd4-b253e496de79
00673236-c73f-44f8-9a3b-937c1d9030f2,af97a8ee-abed-4866-9330-89844b9f135e
00844ece-a1e9-4241-82ab-c19411c8c6cb,db4566b1-bd88-427d-92da-2d25879063b9
00ca4a38-38a3-4820-b33e-da1a1788728e,db4566b1-bd88-427d-92da-2d25879063b9
019db043-faff-4733-83e0-506bc1d01b5b,db4566b1-bd88-427d-92da-2d25879063b9
01f81481-7012-4dc2-ab05-dca49d8fab3f,db4566b1-bd88-427d-92da-2d25879063b9
03011063-acc2-4183-81bb-836b807cc494,db4566b1-bd88-427d-92da-2d25879063b9
051768f9-92fb-45d0-b70e-030d44355c93,db4566b1-bd88-427d-92da-2d25879063b9
06b405d9-31ce-4b76-968b-9a41a5c8de7d,db4566b1-bd88-427d-92da-2d25879063b9
074d06cd-9cbe-4023-8fbb-f47848d808be,db4566b1-bd88-427d-92da-2d25879063b9
078a7657-9464-4f8b-9580-5a6b5149bb7e,db4566b1-bd88-427d-92da-2d25879063b9
079f3bd8-32c6-48bf-8526-fb98771be8bb,db4566b1-bd88-427d-92da-2d25879063b9
0d79a4ca-6ec6-48b7-a7eb-6ffd1b7a1210,db4566b1-bd88-427d-92da-2d25879063b9
0d9351f9-e7d8-40c7-bc96-d9213fc054c5,db4566b1-bd88-427d-92da-2d25879063b9
0e840e80-aa49-45a0-86ed-7740b3d57041,db4566b1-bd88-427d-92da-2d25879063b9
0f113185-d093-4d00-bf6f-83e085ab519a,db4566b1-bd88-427d-92da-2d25879063b9
0f5ef6eb-1941-481c-9f31-d15733cad12d,db4566b1-bd88-427d-92da-2d25879063b9
105d2110-fb12-4a23-8ff1-bbff3ed6fdb1,db4566b1-bd88-427d-92da-2d25879063b9
10c0f422-f545-44ad-9af3-9d46d46b78ff,db4566b1-bd88-427d-92da-2d25879063b9
10e79191-2dc7-4add-af26-17dc1749a405,db4566b1-bd88-427d-92da-2d25879063b9
10eb9542-66a2-4024-988a-97c00138137c,db4566b1-bd88-427d-92da-2d25879063b9
112979b5-e569-42fc-bf6d-e944c2d53209,db4566b1-bd88-427d-92da-2d25879063b9
128ef739-7e63-4d29-bebf-8e23326b03f4,db4566b1-bd88-427d-92da-2d25879063b9
157a8ab4-87ed-46af-abac-912cf937108c,db4566b1-bd88-427d-92da-2d25879063b9
1730e91c-01cf-4dc3-9447-f8d619b0903c,db4566b1-bd88-427d-92da-2d25879063b9
19b6f8d8-6715-4d2f-a0c5-56f62cfa34f7,db4566b1-bd88-427d-92da-2d25879063b9
19b784a8-6179-43e6-82be-11ac72bf63ca,db4566b1-bd88-427d-92da-2d25879063b9
1b3a42f3-e44e-481a-ac6f-6c0f22bb1024,db4566b1-bd88-427d-92da-2d25879063b9
1bf80cba-1e5d-4de7-bf11-9c7dd091bbdb,db4566b1-bd88-427d-92da-2d25879063b9
1e6f83eb-4981-40fc-875e-c56ab6aa2e42,db4566b1-bd88-427d-92da-2d25879063b9
220c31d8-610d-4552-a1f2-46701026c8db,db4566b1-bd88-427d-92da-2d25879063b9
22cfe915-16b0-417d-b82c-053e6621f530,db4566b1-bd88-427d-92da-2d25879063b9
22dee5f2-ade2-4169-af8d-c365005b89a4,db4566b1-bd88-427d-92da-2d25879063b9
22fd7450-1f06-47fd-8f39-272b63c8f032,db4566b1-bd88-427d-92da-2d25879063b9
2392b283-0fc4-420d-a176-0d070f09f59d,db4566b1-bd88-427d-92da-2d25879063b9
23acbcc0-76e2-42d3-8d86-c7f5f08e83bf,db4566b1-bd88-427d-92da-2d25879063b9
24a71569-8fe3-4966-8b0d-2705d80a0914,db4566b1-bd88-427d-92da-2d25879063b9
28e271c6-3acb-44d2-9474-524c9db3cac0,db4566b1-bd88-427d-92da-2d25879063b9
28e7645f-d1e5-49e0-a4e2-4b797ad942bf,db4566b1-bd88-427d-92da-2d25879063b9
2ab44772-3500-4c1e-bc58-6efefff3581a,db4566b1-bd88-427d-92da-2d25879063b9
2b6d2fd1-4564-4bf2-9c20-6383d14ba3d1,db4566b1-bd88-427d-92da-2d25879063b9
2ba14e9d-fa6d-4d36-88c6-9a6cf3857b17,db4566b1-bd88-427d-92da-2d25879063b9
2bef6787-18d5-4e2d-af3b-a029bf0afbe9,db4566b1-bd88-427d-92da-2d25879063b9
2c76746a-86fb-4d97-bb2f-30a1408abe56,db4566b1-bd88-427d-92da-2d25879063b9
2d7cf4ba-ef97-45b6-89af-631021861db7,db4566b1-bd88-427d-92da-2d25879063b9
2f161ed9-122b-4036-b0b0-2e0bb686d306,db4566b1-bd88-427d-92da-2d25879063b9
3177b2fb-0f63-42a8-aab5-1984b752801e,db4566b1-bd88-427d-92da-2d25879063b9
32112a1d-08f2-4912-8d49-129fa217b238,db4566b1-bd88-427d-92da-2d25879063b9
326dc90d-b24e-4ef6-a012-5b601dcba1a2,db4566b1-bd88-427d-92da-2d25879063b9
333d7cee-77d1-4342-bc9f-3e825543d8b8,db4566b1-bd88-427d-92da-2d25879063b9
34ca4dcc-f308-4f6e-a760-2d00866c6378,db4566b1-bd88-427d-92da-2d25879063b9
37ca6a75-7270-4de5-9094-f1f28da5ed3a,db4566b1-bd88-427d-92da-2d25879063b9
38f7e651-edb5-4c91-97ac-69341b5a385a,db4566b1-bd88-427d-92da-2d25879063b9
3bbac3b7-fa61-4ebf-a964-3b545e0ae211,db4566b1-bd88-427d-92da-2d25879063b9
3f242c3e-ab3f-4b15-9f10-034190d5adce,db4566b1-bd88-427d-92da-2d25879063b9
3f4c5fb8-cdcb-46b1-b253-4d3912a792d6,db4566b1-bd88-427d-92da-2d25879063b9
40fed416-8fff-4b7a-a486-caa09117ed50,db4566b1-bd88-427d-92da-2d25879063b9
41869483-e0c4-4fbf-8713-45c155902ada,db4566b1-bd88-427d-92da-2d25879063b9
42572d78-c938-4ebd-93ff-9b3ff0784cc2,db4566b1-bd88-427d-92da-2d25879063b9
426516df-a381-49f1-93a1-e9bb21841dee,db4566b1-bd88-427d-92da-2d25879063b9
42e2876b-ae13-4acb-814c-5d48aca32da3,db4566b1-bd88-427d-92da-2d25879063b9
4308f373-3318-4cad-96f2-441895cee451,db4566b1-bd88-427d-92da-2d25879063b9
4357d5fa-4214-4436-8cd2-764c409d55e8,db4566b1-bd88-427d-92da-2d25879063b9
447e153a-47cd-462e-b517-72bb74d558da,db4566b1-bd88-427d-92da-2d25879063b9
47a924df-c94a-4446-96d1-27d2e9396633,db4566b1-bd88-427d-92da-2d25879063b9
481e5cb9-17c6-4592-8c3f-bed86d0658cc,db4566b1-bd88-427d-92da-2d25879063b9
48b40a1e-6b83-44cf-a5ac-718746bc1fe0,db4566b1-bd88-427d-92da-2d25879063b9
491dcea9-ffd4-4626-962d-5945481a0222,db4566b1-bd88-427d-92da-2d25879063b9
4995d600-438d-4424-8abb-dbb27391df29,db4566b1-bd88-427d-92da-2d25879063b9
4a0d29e4-4c9c-4b89-9ca4-bdb5454c641d,db4566b1-bd88-427d-92da-2d25879063b9
4c3f2223-1a22-41d0-945d-624b32cdcaf7,db4566b1-bd88-427d-92da-2d25879063b9
4c95fd06-6572-4c52-a94f-3825d9fb3dd9,db4566b1-bd88-427d-92da-2d25879063b9
4f3edd91-9a72-429d-ab64-f4a95368c19f,db4566b1-bd88-427d-92da-2d25879063b9
4fb6e3e6-8006-430b-8283-3ae4443cdffe,db4566b1-bd88-427d-92da-2d25879063b9
5241504c-5a2e-4e10-9c7a-247e2fab7f62,db4566b1-bd88-427d-92da-2d25879063b9
52a588cd-312c-43c6-846a-e98052ec6143,db4566b1-bd88-427d-92da-2d25879063b9
56bfc40a-e3fc-4742-bcac-2223957bfd5f,db4566b1-bd88-427d-92da-2d25879063b9
58102c76-005e-466e-8df5-b403f73e6d9c,db4566b1-bd88-427d-92da-2d25879063b9
5a24dd54-8c7d-4d20-9a5f-a3ef06541aa4,db4566b1-bd88-427d-92da-2d25879063b9
605a178e-4fbc-40bb-bf9a-6956c7a58fed,db4566b1-bd88-427d-92da-2d25879063b9
60e391e1-4972-48b7-abed-779dc3423859,db4566b1-bd88-427d-92da-2d25879063b9
61eea9c9-bf71-4e8d-8459-3538cda7e7ef,db4566b1-bd88-427d-92da-2d25879063b9
